Source output: calculations/B12/bilayer_3d/d_2.5/mult_1/output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,255.02000000,false,,,
2,255.05000000,false,,,
3,334.88000000,false,,,
4,335.02000000,false,,,
5,384.67000000,false,,,
6,385.23000000,false,,,
7,536.78000000,false,,,
8,536.81000000,false,,,
9,645.62000000,false,,,
10,646.65000000,false,,,
11,671.34000000,false,,,
12,726.02000000,false,,,
13,726.21000000,false,,,
14,731.31000000,false,,,
15,731.31000000,false,,,
16,746.75000000,false,,,
17,750.87000000,false,,,
18,773.66000000,false,,,
19,773.71000000,false,,,
20,937.94000000,false,,,
21,956.57000000,false,,,
22,956.66000000,false,,,
23,971.32000000,false,,,
24,971.38000000,false,,,
25,1120.69000000,false,,,
26,1120.72000000,false,,,
27,1180.52000000,false,,,
28,1180.99000000,false,,,
29,1184.22000000,false,,,
30,1184.55000000,false,,,
