Source output: calculations\B12\bilayer_3d\d_3.5\mult_5\output.out
All frequencies parsed: 36
Vibrational frequencies used for B12 check: 30
Expected nonlinear B12 vibrational modes: 30

# mode_number,frequency_cm-1,imaginary,ir_intensity,reduced_mass,force_constant
1,62.65000000,false,,,
2,145.56000000,false,,,
3,149.16000000,false,,,
4,180.08000000,false,,,
5,295.41000000,false,,,
6,296.24000000,false,,,
7,332.11000000,false,,,
8,362.83000000,false,,,
9,383.42000000,false,,,
10,405.62000000,false,,,
11,440.54000000,false,,,
12,445.29000000,false,,,
13,541.89000000,false,,,
14,556.75000000,false,,,
15,599.01000000,false,,,
16,619.91000000,false,,,
17,681.39000000,false,,,
18,722.07000000,false,,,
19,760.13000000,false,,,
20,834.59000000,false,,,
21,838.21000000,false,,,
22,848.58000000,false,,,
23,955.54000000,false,,,
24,990.22000000,false,,,
25,1175.14000000,false,,,
26,1175.27000000,false,,,
27,1281.03000000,false,,,
28,1322.58000000,false,,,
29,1391.54000000,false,,,
30,1393.27000000,false,,,
