cluster,structure_name,initial_distance_A,charge,multiplicity,method,basis,total_energy_Eh,relative_energy_eV,terminated_normally,scf_converged,has_imaginary_frequencies,number_of_imaginary_frequencies,min_real_frequency_cm-1,number_of_vibrational_modes,optimized_xyz_path,output_path
B12,bilayer_3d,2.0,0,1,PBE0,def2-SVP,-297.318956959703,1.48545730,True,True,False,0,254.8000,30,calculations/B12/bilayer_3d/d_2.0/mult_1/optimized.xyz,calculations/B12/bilayer_3d/d_2.0/mult_1/output.out
B12,bilayer_3d,2.0,0,3,PBE0,def2-SVP,-297.264893675698,2.95659420,True,True,False,0,79.6500,30,calculations/B12/bilayer_3d/d_2.0/mult_3/optimized.xyz,calculations/B12/bilayer_3d/d_2.0/mult_3/output.out
B12,bilayer_3d,2.0,0,5,PBE0,def2-SVP,-297.238882497052,3.66439443,True,True,False,0,263.4000,30,calculations/B12/bilayer_3d/d_2.0/mult_5/optimized.xyz,calculations/B12/bilayer_3d/d_2.0/mult_5/output.out
B12,bilayer_3d,2.5,0,1,PBE0,def2-SVP,-297.318957367448,1.48544620,True,True,False,0,255.0200,30,calculations/B12/bilayer_3d/d_2.5/mult_1/optimized.xyz,calculations/B12/bilayer_3d/d_2.5/mult_1/output.out
B12,bilayer_3d,2.5,0,3,PBE0,def2-SVP,-297.264683288679,2.96231912,True,True,False,0,81.6300,30,calculations/B12/bilayer_3d/d_2.5/mult_3/optimized.xyz,calculations/B12/bilayer_3d/d_2.5/mult_3/output.out
B12,bilayer_3d,2.5,0,5,PBE0,def2-SVP,-297.238820600200,3.66607873,True,True,False,0,263.3100,30,calculations/B12/bilayer_3d/d_2.5/mult_5/optimized.xyz,calculations/B12/bilayer_3d/d_2.5/mult_5/output.out
B12,bilayer_3d,3.0,0,1,PBE0,def2-SVP,-296.989127842114,10.46056481,False,True,False,0,,0,calculations/B12/bilayer_3d/d_3.0/mult_1/optimized.xyz,calculations/B12/bilayer_3d/d_3.0/mult_1/output.out
B12,bilayer_3d,3.0,0,3,PBE0,def2-SVP,-297.264588000992,2.96491203,True,True,False,0,83.7000,30,calculations/B12/bilayer_3d/d_3.0/mult_3/optimized.xyz,calculations/B12/bilayer_3d/d_3.0/mult_3/output.out
B12,bilayer_3d,3.0,0,5,PBE0,def2-SVP,-297.238884736003,3.66433350,True,True,False,0,262.8200,30,calculations/B12/bilayer_3d/d_3.0/mult_5/optimized.xyz,calculations/B12/bilayer_3d/d_3.0/mult_5/output.out
B12,bilayer_3d,3.5,0,1,PBE0,def2-SVP,-297.373546508462,0.00000000,True,True,False,0,193.2700,30,calculations/B12/bilayer_3d/d_3.5/mult_1/optimized.xyz,calculations/B12/bilayer_3d/d_3.5/mult_1/output.out
